goroutine,duration,hit_rate10,10µs,0.996371
10,100µs,0.999446
10,200µs,0.999734
10,500µs,0.999756
10,1ms,0.999914
10,5ms,0.999989
10,10ms,0.999993
10,25ms,0.999997
10,50ms,0.999999
10,100ms,0.999999
10,250ms,1.000000
10,500ms,1.000000
100,10µs,0.999941
100,100µs,0.999139
100,200µs,0.999048
100,500µs,0.999557
100,1ms,0.999765
100,5ms,0.999979
100,10ms,0.999988
100,25ms,0.999993
100,50ms,0.999996
100,100ms,0.999998
100,250ms,1.000000
100,500ms,1.000000
1000,10µs,0.999958
1000,100µs,0.999430
1000,200µs,0.999680
1000,500µs,0.999575
1000,1ms,0.999766
1000,5ms,0.999981
1000,10ms,0.999988
1000,25ms,0.999993
1000,50ms,0.999995
1000,100ms,0.999998
1000,250ms,1.000000
1000,500ms,1.000000
10000,10µs,0.996888
10000,100µs,0.998836
10000,200µs,0.999227
10000,500µs,0.999668
10000,1ms,0.999829
10000,5ms,0.999983
10000,10ms,0.999999
10000,25ms,0.999997
10000,50ms,0.999998
10000,100ms,0.999999
10000,250ms,1.000000
10000,500ms,1.000000
